"","NAM_C1","NAM_C2","P.value"
"CRNKL1",2,9,0.0336346104676706
"DMP1",2,9,0.0336346104676706
"ERBB3",2,9,0.0336346104676706
"OR51F1",2,9,0.0336346104676706
"OR5M11",2,9,0.0336346104676706
"OR8B12",2,9,0.0336346104676706
"PCOLCE2",2,9,0.0336346104676706
"PPAPDC1A",2,9,0.0336346104676706
"RABEP2",2,9,0.0336346104676706
"SERPINB2",2,9,0.0336346104676706
"SYMPK",1,10,0.00510823167235577
"TRAPPC9",2,9,0.0336346104676706
"UBR2",2,9,0.0336346104676706
"CD86",1,9,0.00975903894726528
"FGF10",1,9,0.00975903894726528
"HELZ2",1,9,0.00975903894726528
"KRT31",1,9,0.00975903894726528
"MEIS1",1,9,0.00975903894726528
"RASGRP4",0,10,0.000738334559149837
"ZNF217",1,9,0.00975903894726528
"CDH26",1,8,0.0184718421149693
"CGN",1,8,0.0184718421149693
"CLIP1",1,8,0.0184718421149693
"CSF3R",1,8,0.0184718421149693
"DGCR8",1,8,0.0184718421149693
"EPX",8,1,0.0376423157202733
"FCGR3B",1,8,0.0184718421149693
"FNDC3B",1,8,0.0184718421149693
"GDAP2",8,1,0.0376423157202733
"IGKV1-27",8,1,0.0376423157202733
"INPP5D",1,8,0.0184718421149693
"KIR2DL3",8,1,0.0376423157202733
"KLHL10",0,9,0.00153346408438812
"MEOX2",1,8,0.0184718421149693
"OR1A1",1,8,0.0184718421149693
"PIK3C3",1,8,0.0184718421149693
"RASA1",8,1,0.0376423157202733
"RNF219",1,8,0.0184718421149693
"SH3BP5L",8,1,0.0376423157202733
"SH3PXD2B",9,0,0.00367228235585322
"SSH2",8,1,0.0376423157202733
"TOP2B",1,8,0.0184718421149693
"ZBTB16",1,8,0.0184718421149693
"ZNF595",1,8,0.0184718421149693
"AADACL2",0,8,0.0031778596131788
"AHDC1",1,7,0.0345931922878303
"ANKRD33",1,7,0.0345931922878303
"BEND3",1,7,0.0345931922878303
"BMP3",1,7,0.0345931922878303
"CALCA",1,7,0.0345931922878303
"DAO",1,7,0.0345931922878303
"DGKG",1,7,0.0345931922878303
"ELN",1,7,0.0345931922878303
"EPC1",1,7,0.0345931922878303
"FASLG",0,8,0.0031778596131788
"FCN1",1,7,0.0345931922878303
"GABRD",1,7,0.0345931922878303
"GADL1",1,7,0.0345931922878303
"GDPD4",1,7,0.0345931922878303
"GIMAP7",1,7,0.0345931922878303
"GMIP",1,7,0.0345931922878303
"MACROD2",1,7,0.0345931922878303
"MAP7",1,7,0.0345931922878303
"MFAP1",1,7,0.0345931922878303
"NTNG2",1,7,0.0345931922878303
"OR10A5",1,7,0.0345931922878303
"OR52B4",0,8,0.0031778596131788
"OR5K4",1,7,0.0345931922878303
"OSBPL8",1,7,0.0345931922878303
"POPDC2",1,7,0.0345931922878303
"PRKAA2",1,7,0.0345931922878303
"PRMT8",1,7,0.0345931922878303
"PTGS2",1,7,0.0345931922878303
"RSPO2",1,7,0.0345931922878303
"RXFP2",1,7,0.0345931922878303
"SLC15A2",0,8,0.0031778596131788
"SLC25A14",1,7,0.0345931922878303
"SLC9B1",1,7,0.0345931922878303
"SPOCK1",0,8,0.0031778596131788
"SPON1",1,7,0.0345931922878303
"STRA8",1,7,0.0345931922878303
"TCERG1",0,8,0.0031778596131788
"TEX2",1,7,0.0345931922878303
"TMEM260",0,8,0.0031778596131788
"UBAP1",0,8,0.0031778596131788
"UBC",1,7,0.0345931922878303
"USP17L2",1,7,0.0345931922878303
"ZNF43",1,7,0.0345931922878303
"ZNF679",1,7,0.0345931922878303
"ACAP3",0,7,0.00657116733572566
"DDX42",0,7,0.00657116733572566
"DPEP3",0,7,0.00657116733572566
"ERCC6L2",0,7,0.00657116733572566
"GATAD2B",0,7,0.00657116733572566
"ITPRIP",0,7,0.00657116733572566
"KRT7",0,7,0.00657116733572566
"MRGPRX1",0,7,0.00657116733572566
"PROC",0,7,0.00657116733572566
"RSPH10B2",0,7,0.00657116733572566
"SLC26A11",0,7,0.00657116733572566
"STK32B",7,0,0.0150740611986114
"TBCD",0,7,0.00657116733572566
"TNKS",0,7,0.00657116733572566
"ZFP36",0,7,0.00657116733572566
"ZNF239",0,7,0.00657116733572566
"ADRBK2",0,6,0.0135582313382694
"ANXA3",6,0,0.0304603252364446
"ATP6V0A4",0,6,0.0135582313382694
"ATP8A1",6,0,0.0304603252364446
"BCL2L13",0,6,0.0135582313382694
"C11orf84",0,6,0.0135582313382694
"CAPS2",0,6,0.0135582313382694
"CCDC66",0,6,0.0135582313382694
"CCT6A",0,6,0.0135582313382694
"CD300LB",6,0,0.0304603252364446
"CHRM5",0,6,0.0135582313382694
"DHX32",6,0,0.0304603252364446
"DNAAF5",0,6,0.0135582313382694
"EP300",0,6,0.0135582313382694
"FTHL17",0,6,0.0135582313382694
"GCK",0,6,0.0135582313382694
"GPR6",6,0,0.0304603252364446
"HLTF",6,0,0.0304603252364446
"IGDCC3",0,6,0.0135582313382694
"KLRC1",0,6,0.0135582313382694
"LCE3D",6,0,0.0304603252364446
"MAGT1",0,6,0.0135582313382694
"MFSD2A",0,6,0.0135582313382694
"MIS18BP1",0,6,0.0135582313382694
"MKLN1",6,0,0.0304603252364446
"MMEL1",0,6,0.0135582313382694
"NLGN2",6,0,0.0304603252364446
"NMNAT2",0,6,0.0135582313382694
"OIT3",0,6,0.0135582313382694
"PGM2L1",0,6,0.0135582313382694
"PROM1",0,6,0.0135582313382694
"PSEN1",0,6,0.0135582313382694
"PYGO2",0,6,0.0135582313382694
"RRP1B",0,6,0.0135582313382694
"RUNX2",0,6,0.0135582313382694
"SPACA3",0,6,0.0135582313382694
"TBC1D22A",0,6,0.0135582313382694
"THEG",6,0,0.0304603252364446
"TMC4",0,6,0.0135582313382694
"TUSC3",0,6,0.0135582313382694
"UCHL5",0,6,0.0135582313382694
"VIPAS39",6,0,0.0304603252364446
"ZBTB11",6,0,0.0304603252364446
"ZC3H7A",0,6,0.0135582313382694
"ZNF682",0,6,0.0135582313382694
"ACAD9",0,5,0.0279140056964368
"ADPRH",0,5,0.0279140056964368
"AKT2",0,5,0.0279140056964368
"APOBEC3G",0,5,0.0279140056964368
"ASCC2",0,5,0.0279140056964368
"BPIFB3",0,5,0.0279140056964368
"CARD9",0,5,0.0279140056964368
"CCT2",0,5,0.0279140056964368
"CHRNA2",0,5,0.0279140056964368
"CNTFR",0,5,0.0279140056964368
"COL8A2",0,5,0.0279140056964368
"CPEB4",0,5,0.0279140056964368
"CSDE1",0,5,0.0279140056964368
"DCLRE1C",0,5,0.0279140056964368
"ENTPD7",0,5,0.0279140056964368
"FAHD2B",0,5,0.0279140056964368
"FAM71F1",0,5,0.0279140056964368
"FOXR2",0,5,0.0279140056964368
"GJB1",0,5,0.0279140056964368
"GJD2",0,5,0.0279140056964368
"GNAQ",0,5,0.0279140056964368
"HTR2B",0,5,0.0279140056964368
"IFNA4",0,5,0.0279140056964368
"IGHV3-38",0,5,0.0279140056964368
"IGHV4-31",0,5,0.0279140056964368
"IGKV6D-21",0,5,0.0279140056964368
"KCNMB2",0,5,0.0279140056964368
"KRT13",0,5,0.0279140056964368
"LACTB2",0,5,0.0279140056964368
"LECT2",0,5,0.0279140056964368
"LMNB2",0,5,0.0279140056964368
"LTB",0,5,0.0279140056964368
"MIER3",0,5,0.0279140056964368
"NNMT",0,5,0.0279140056964368
"OPTC",0,5,0.0279140056964368
"PDIA3",0,5,0.0279140056964368
"PPFIBP1",0,5,0.0279140056964368
"PRKD2",0,5,0.0279140056964368
"PTCD3",0,5,0.0279140056964368
"RALGDS",0,5,0.0279140056964368
"RBM26",0,5,0.0279140056964368
"RUVBL1",0,5,0.0279140056964368
"SLC24A1",0,5,0.0279140056964368
"SLC38A5",0,5,0.0279140056964368
"SLC39A1",0,5,0.0279140056964368
"SNX4",0,5,0.0279140056964368
"SPRR1B",0,5,0.0279140056964368
"STC2",0,5,0.0279140056964368
"STK33",0,5,0.0279140056964368
"STX3",0,5,0.0279140056964368
"TBL3",0,5,0.0279140056964368
"TCF25",0,5,0.0279140056964368
"TNNT3",0,5,0.0279140056964368
"TTLL6",0,5,0.0279140056964368
"UBA1",0,5,0.0279140056964368
"USP21",0,5,0.0279140056964368
"WWOX",0,5,0.0279140056964368
"ZDHHC19",0,5,0.0279140056964368
"ZNF486",0,5,0.0279140056964368
