,Freq,Genes
TP53,236,TP53
TTN,224,TTN
MUC16,194,MUC16
CSMD3,185,CSMD3
RYR2,178,RYR2
LRP1B,159,LRP1B
USH2A,154,USH2A
ZFHX4,150,ZFHX4
KRAS,135,KRAS
FLG,125,FLG
SPTA1,124,SPTA1
XIRP2,118,XIRP2
NAV3,98,NAV3
ZNF536,98,ZNF536
ANK2,95,ANK2
CSMD1,95,CSMD1
FAT3,95,FAT3
COL11A1,94,COL11A1
MUC17,91,MUC17
PCDH15,91,PCDH15
ADAMTS12,90,ADAMTS12
KEAP1,88,KEAP1
PCLO,87,PCLO
RYR3,87,RYR3
APOB,86,APOB
TNR,86,TNR
PAPPA2,85,PAPPA2
CDH10,83,CDH10
DNAH9,83,DNAH9
RP1L1,82,RP1L1
PTPRD,80,PTPRD
SI,79,SI
LRRC7,77,LRRC7
STK11,77,STK11
ADGRG4,76,ADGRG4
RYR1,75,RYR1
ZNF804A,75,ZNF804A
HMCN1,74,HMCN1
PCDH11X,74,PCDH11X
DMD,73,DMD
ERICH3,73,ERICH3
NPAP1,73,NPAP1
FAT4,72,FAT4
FBN2,72,FBN2
ABCA13,71,ABCA13
NRXN1,71,NRXN1
PXDNL,71,PXDNL
ASTN1,70,ASTN1
OBSCN,70,OBSCN
RELN,70,RELN
FAM135B,69,FAM135B
MXRA5,69,MXRA5
AHNAK2,68,AHNAK2
CACNA1E,68,CACNA1E
CSMD2,67,CSMD2
ASXL3,65,ASXL3
FLG2,65,FLG2
NALCN,65,NALCN
VCAN,65,VCAN
PEG3,64,PEG3
ASPM,63,ASPM
CNTNAP2,63,CNTNAP2
LRP2,63,LRP2
RIMS2,63,RIMS2
DNAH5,62,DNAH5
BRINP3,61,BRINP3
PKHD1,61,PKHD1
PRUNE2,61,PRUNE2
TNN,61,TNN
SYNE2,60,SYNE2
ADGRL3,59,ADGRL3
CNTNAP5,59,CNTNAP5
COL6A3,59,COL6A3
EGFR,59,EGFR
SORCS1,59,SORCS1
SSPO,59,SSPO
HRNR,58,HRNR
TSHZ3,58,TSHZ3
ADGRB3,57,ADGRB3
DNAH8,57,DNAH8
MYH2,57,MYH2
MYH8,57,MYH8
NEB,57,NEB
PCDH10,57,PCDH10
PKHD1L1,57,PKHD1L1
COL12A1,56,COL12A1
EPHA5,56,EPHA5
HERC2,56,HERC2
LAMA2,56,LAMA2
MYH1,56,MYH1
SNTG1,56,SNTG1
AHNAK,55,AHNAK
ANKRD30A,55,ANKRD30A
PRDM9,55,PRDM9
CUBN,54,CUBN
NLRP3,54,NLRP3
SYNE1,54,SYNE1
TG,54,TG
TLR4,54,TLR4
AFF2,53,AFF2
CPS1,53,CPS1
CTNNA2,53,CTNNA2
DST,53,DST
HYDIN,53,HYDIN
NF1,53,NF1
PLEC,53,PLEC
SPATA31D1,53,SPATA31D1
TENM1,53,TENM1
CDH12,52,CDH12
CDH9,52,CDH9
COL3A1,52,COL3A1
DOCK2,52,DOCK2
LPPR4,52,LPPR4
MYH7,52,MYH7
NCKAP5,52,NCKAP5
SLITRK2,52,SLITRK2
UNC79,52,UNC79
ZNF831,52,ZNF831
ADAMTS20,51,ADAMTS20
CRB1,51,CRB1
FAT1,51,FAT1
MUC5B,51,MUC5B
SVEP1,51,SVEP1
TRPS1,51,TRPS1
COL22A1,50,COL22A1
GRIN2B,50,GRIN2B
LAMA1,50,LAMA1
PTPRT,50,PTPRT
COL5A2,49,COL5A2
DNAH11,49,DNAH11
DNAH3,49,DNAH3
MRC1,49,MRC1
SETBP1,49,SETBP1
TAF1L,49,TAF1L
TIAM1,49,TIAM1
HCN1,48,HCN1
SLC8A1,48,SLC8A1
SPHKAP,48,SPHKAP
ZNF521,48,ZNF521
ZNF804B,48,ZNF804B
ADGRV1,47,ADGRV1
FAM47C,47,FAM47C
GPR158,47,GPR158
GRIN2A,47,GRIN2A
KIAA1109,47,KIAA1109
LYST,47,LYST
TENM3,47,TENM3
TPTE,47,TPTE
ZFPM2,47,ZFPM2
HECW1,46,HECW1
KIF2B,46,KIF2B
LTBP1,46,LTBP1
MACF1,46,MACF1
RGPD4,46,RGPD4
SPATA31A6,46,SPATA31A6
THSD7A,46,THSD7A
CTNND2,45,CTNND2
DCDC1,45,DCDC1
DNAH7,45,DNAH7
FAM47A,45,FAM47A
FMN2,45,FMN2
LRRIQ1,45,LRRIQ1
MGA,45,MGA
NOTCH4,45,NOTCH4
PCDH17,45,PCDH17
PTPRZ1,45,PTPRZ1
DCAF4L2,44,DCAF4L2
DCHS2,44,DCHS2
SPEF2,44,SPEF2
TEX15,44,TEX15
UNC13C,44,UNC13C
EPHA6,43,EPHA6
FAM47B,43,FAM47B
HEPH,43,HEPH
KCNT2,43,KCNT2
LPA,43,LPA
NBAS,43,NBAS
NLRP14,43,NLRP14
OTOGL,43,OTOGL
PPP1R3A,43,PPP1R3A
SORCS3,43,SORCS3
TENM2,43,TENM2
ABCB5,42,ABCB5
BIRC6,42,BIRC6
CACNA1C,42,CACNA1C
CDH18,42,CDH18
CDH7,42,CDH7
COL19A1,42,COL19A1
F8,42,F8
FLNC,42,FLNC
GRID2,42,GRID2
ITGA8,42,ITGA8
KDR,42,KDR
LRFN5,42,LRFN5
LRRTM4,42,LRRTM4
MAGEC1,42,MAGEC1
MGAM,42,MGAM
MMRN1,42,MMRN1
MROH2B,42,MROH2B
NLGN4X,42,NLGN4X
PKD1L1,42,PKD1L1
PLXNA4,42,PLXNA4
SALL1,42,SALL1
SLITRK1,42,SLITRK1
SLITRK3,42,SLITRK3
SMARCA4,42,SMARCA4
THSD7B,42,THSD7B
TRPA1,42,TRPA1
ASTN2,41,ASTN2
BOD1L1,41,BOD1L1
COL14A1,41,COL14A1
KLHL1,41,KLHL1
KMT2C,41,KMT2C
MYH13,41,MYH13
PRKDC,41,PRKDC
ROBO2,41,ROBO2
WDFY3,41,WDFY3
ZAN,41,ZAN
ZP4,41,ZP4
ADAMTSL3,40,ADAMTSL3
ATM,40,ATM
ATRNL1,40,ATRNL1
CNTNAP4,40,CNTNAP4
DSCAM,40,DSCAM
EYS,40,EYS
FAT2,40,FAT2
FER1L6,40,FER1L6
GRM5,40,GRM5
LAMB4,40,LAMB4
MMP16,40,MMP16
MYH4,40,MYH4
MYO18B,40,MYO18B
SLIT2,40,SLIT2
SPATA31A1,40,SPATA31A1
TMPRSS15,40,TMPRSS15
TMTC1,40,TMTC1
UBR4,40,UBR4
ZNF208,40,ZNF208
BRAF,39,BRAF
CDH8,39,CDH8
CHL1,39,CHL1
DUSP27,39,DUSP27
EPHA3,39,EPHA3
ERBB4,39,ERBB4
FCGBP,39,FCGBP
HUWE1,39,HUWE1
ITGAX,39,ITGAX
MAP2,39,MAP2
NRXN3,39,NRXN3
RP1,39,RP1
SLC39A12,39,SLC39A12
SLITRK4,39,SLITRK4
ADAMTS16,38,ADAMTS16
GRM8,38,GRM8
KCNB2,38,KCNB2
LRRC4C,38,LRRC4C
NTRK3,38,NTRK3
OVCH1,38,OVCH1
POM121L12,38,POM121L12
PTCHD2,38,PTCHD2
SCN10A,38,SCN10A
ZDBF2,38,ZDBF2
ZNF479,38,ZNF479
ABCB1,37,ABCB1
CACNA2D1,37,CACNA2D1
KCNU1,37,KCNU1
NRCAM,37,NRCAM
OR4A15,37,OR4A15
OTOF,37,OTOF
PLCB1,37,PLCB1
ACTN2,36,ACTN2
ADAMTS2,36,ADAMTS2
CDH23,36,CDH23
COL4A5,36,COL4A5
MYT1L,36,MYT1L
NBEA,36,NBEA
NELL1,36,NELL1
NLRP5,36,NLRP5
PTPRB,36,PTPRB
RBM10,36,RBM10
SCN3A,36,SCN3A
ST6GAL2,36,ST6GAL2
ABCA12,35,ABCA12
ANK1,35,ANK1
ANK3,35,ANK3
CENPF,35,CENPF
CFAP47,35,CFAP47
DGKB,35,DGKB
DMBT1,35,DMBT1
EPHB6,35,EPHB6
FSTL5,35,FSTL5
GRM7,35,GRM7
IGSF1,35,IGSF1
INSRR,35,INSRR
L1CAM,35,L1CAM
LCT,35,LCT
LRP1,35,LRP1
MYH6,35,MYH6
MYO3A,35,MYO3A
NID1,35,NID1
OR2W3,35,OR2W3
OR4C15,35,OR4C15
PCDHB8,35,PCDHB8
SACS,35,SACS
SPEG,35,SPEG
TRPC4,35,TRPC4
TRRAP,35,TRRAP
VPS13C,35,VPS13C
ADCY2,34,ADCY2
ADCY8,34,ADCY8
ADGRL2,34,ADGRL2
AKAP6,34,AKAP6
BRWD3,34,BRWD3
CCDC178,34,CCDC178
CLCN1,34,CLCN1
CNTN5,34,CNTN5
F5,34,F5
HGF,34,HGF
KCNH8,34,KCNH8
KIAA1211,34,KIAA1211
PDGFRA,34,PDGFRA
SEMA5A,34,SEMA5A
SRCAP,34,SRCAP
STAB2,34,STAB2
TCHH,34,TCHH
TLL1,34,TLL1
ZNF423,34,ZNF423
COL1A2,33,COL1A2
CPED1,33,CPED1
DCHS1,33,DCHS1
DIDO1,33,DIDO1
DSG3,33,DSG3
FRMPD4,33,FRMPD4
HDAC9,33,HDAC9
KCNH5,33,KCNH5
KIAA1549L,33,KIAA1549L
MED12,33,MED12
MYCBP2,33,MYCBP2
PCDH18,33,PCDH18
PCDHB7,33,PCDHB7
PCDHGA2,33,PCDHGA2
PCDHGA3,33,PCDHGA3
SEMA6D,33,SEMA6D
THBS2,33,THBS2
TRPM6,33,TRPM6
ACAN,32,ACAN
CFH,32,CFH
COL6A6,32,COL6A6
COL7A1,32,COL7A1
DCAF12L1,32,DCAF12L1
DLGAP2,32,DLGAP2
DYSF,32,DYSF
EPHB1,32,EPHB1
FAM83B,32,FAM83B
GABRA4,32,GABRA4
GRM1,32,GRM1
KMT2D,32,KMT2D
MUC5AC,32,MUC5AC
MYO16,32,MYO16
NLRP12,32,NLRP12
OR5L1,32,OR5L1
PCDHA2,32,PCDHA2
PTPRC,32,PTPRC
SCN2A,32,SCN2A
SETD2,32,SETD2
SIPA1L2,32,SIPA1L2
TSHZ2,32,TSHZ2
UNC5D,32,UNC5D
VPS13B,32,VPS13B
ZEB1,32,ZEB1
ZEB2,32,ZEB2
AKAP9,31,AKAP9
ALMS1,31,ALMS1
AMER3,31,AMER3
CCDC129,31,CCDC129
COL4A1,31,COL4A1
COL5A1,31,COL5A1
CUX2,31,CUX2
DNAH10,31,DNAH10
DOCK10,31,DOCK10
FLNA,31,FLNA
FRAS1,31,FRAS1
FRMPD1,31,FRMPD1
GLI3,31,GLI3
GRIK2,31,GRIK2
GRIN3A,31,GRIN3A
KALRN,31,KALRN
KIF21B,31,KIF21B
MKI67,31,MKI67
MYO7B,31,MYO7B
OR2L8,31,OR2L8
OR6F1,31,OR6F1
PDZRN3,31,PDZRN3
SAGE1,31,SAGE1
SAMD9L,31,SAMD9L
SATB2,31,SATB2
SCN5A,31,SCN5A
TRHDE,31,TRHDE
USP29,31,USP29
ABCA10,30,ABCA10
ABCC11,30,ABCC11
ADGRL4,30,ADGRL4
BCHE,30,BCHE
BCORL1,30,BCORL1
DCAF12L2,30,DCAF12L2
DMXL1,30,DMXL1
FBXL7,30,FBXL7
FSCB,30,FSCB
KCNH1,30,KCNH1
KMT2A,30,KMT2A
MDGA2,30,MDGA2
MYOM2,30,MYOM2
NID2,30,NID2
OR2G2,30,OR2G2
PCDHB12,30,PCDHB12
PKD1L2,30,PKD1L2
PLCB4,30,PLCB4
RB1,30,RB1
ROR2,30,ROR2
SDK1,30,SDK1
SEZ6L,30,SEZ6L
SLITRK6,30,SLITRK6
UTRN,30,UTRN
XYLT1,30,XYLT1
ADAMTS5,29,ADAMTS5
ANKRD30B,29,ANKRD30B
ASH1L,29,ASH1L
ATRX,29,ATRX
CACNA1B,29,CACNA1B
CD163,29,CD163
CHD6,29,CHD6
CHRM2,29,CHRM2
CNTN3,29,CNTN3
COL4A2,29,COL4A2
DCC,29,DCC
DSCAML1,29,DSCAML1
FCRL5,29,FCRL5
FHOD3,29,FHOD3
IGSF10,29,IGSF10
ITGA4,29,ITGA4
ITGAD,29,ITGAD
KIAA1210,29,KIAA1210
KIAA2022,29,KIAA2022
NDST4,29,NDST4
NLRP10,29,NLRP10
OGDHL,29,OGDHL
OR2M5,29,OR2M5
OR4A16,29,OR4A16
OR4C6,29,OR4C6
OR4Q3,29,OR4Q3
PCDHA3,29,PCDHA3
POLQ,29,POLQ
POSTN,29,POSTN
RIMBP2,29,RIMBP2
SHANK1,29,SHANK1
TMEM132D,29,TMEM132D
TRO,29,TRO
UBR5,29,UBR5
VPS13D,29,VPS13D
ANO4,28,ANO4
BDP1,28,BDP1
CDH6,28,CDH6
CMYA5,28,CMYA5
DYNC2H1,28,DYNC2H1
FREM2,28,FREM2
GABRA2,28,GABRA2
GABRG1,28,GABRG1
HFM1,28,HFM1
HIVEP3,28,HIVEP3
KLHL4,28,KLHL4
LAMA4,28,LAMA4
LTBP2,28,LTBP2
MYPN,28,MYPN
NAV2,28,NAV2
NLRP13,28,NLRP13
OR11H1,28,OR11H1
OR2L13,28,OR2L13
OR2M3,28,OR2M3
OR4A5,28,OR4A5
OR4C16,28,OR4C16
PAK7,28,PAK7
PCDHA1,28,PCDHA1
PCDHA5,28,PCDHA5
PCDHB16,28,PCDHB16
PCDHB2,28,PCDHB2
PCDHB4,28,PCDHB4
PDE10A,28,PDE10A
PREX1,28,PREX1
REG3A,28,REG3A
RGS7,28,RGS7
SGIP1,28,SGIP1
SMG1,28,SMG1
SPAG17,28,SPAG17
TMEM132B,28,TMEM132B
TRIM51,28,TRIM51
ZNF716,28,ZNF716
ZSWIM2,28,ZSWIM2
ADAM19,27,ADAM19
ADAMTS18,27,ADAMTS18
ADAMTS19,27,ADAMTS19
ALPK2,27,ALPK2
ARID1A,27,ARID1A
ATP10B,27,ATP10B
BRCA2,27,BRCA2
BRINP2,27,BRINP2
CACNA1F,27,CACNA1F
CAMTA1,27,CAMTA1
CCDC108,27,CCDC108
CCNB3,27,CCNB3
CDH11,27,CDH11
CNTN1,27,CNTN1
COL15A1,27,COL15A1
COL24A1,27,COL24A1
COL4A6,27,COL4A6
CR1,27,CR1
DGKI,27,DGKI
DPP6,27,DPP6
DYNC1H1,27,DYNC1H1
EGFLAM,27,EGFLAM
EPHA7,27,EPHA7
F13A1,27,F13A1
FAM71B,27,FAM71B
FANCM,27,FANCM
FZD10,27,FZD10
GLI2,27,GLI2
HECTD4,27,HECTD4
IL1RAPL1,27,IL1RAPL1
ITIH6,27,ITIH6
ITPR2,27,ITPR2
KCNH7,27,KCNH7
KIF4B,27,KIF4B
LAMB1,27,LAMB1
LRRIQ3,27,LRRIQ3
MAGI2,27,MAGI2
MED12L,27,MED12L
MTUS2,27,MTUS2
MYH3,27,MYH3
NLRP4,27,NLRP4
NRG3,27,NRG3
OR2M4,27,OR2M4
OR2T4,27,OR2T4
OR4C46,27,OR4C46
OR5D13,27,OR5D13
OR5F1,27,OR5F1
PCDHB14,27,PCDHB14
PCDHB3,27,PCDHB3
PCDHGA5,27,PCDHGA5
PTCHD4,27,PTCHD4
SAMD9,27,SAMD9
SCN11A,27,SCN11A
SCN7A,27,SCN7A
SELP,27,SELP
SLC17A6,27,SLC17A6
TBX22,27,TBX22
TRIML1,27,TRIML1
TRPM1,27,TRPM1
UBA6,27,UBA6
WDR49,27,WDR49
ZIC1,27,ZIC1
ABCA9,26,ABCA9
ADAMTSL1,26,ADAMTSL1
AGMO,26,AGMO
ALK,26,ALK
AMER1,26,AMER1
ARID2,26,ARID2
ATP2B3,26,ATP2B3
BPTF,26,BPTF
BSN,26,BSN
C7,26,C7
CHD5,26,CHD5
CMTR2,26,CMTR2
COL21A1,26,COL21A1
COL25A1,26,COL25A1
DACH2,26,DACH2
DNAH17,26,DNAH17
DZIP3,26,DZIP3
EPB41L3,26,EPB41L3
FNDC1,26,FNDC1
FOLH1,26,FOLH1
FRYL,26,FRYL
FSHR,26,FSHR
FSIP2,26,FSIP2
GRID1,26,GRID1
IQGAP2,26,IQGAP2
KCNA4,26,KCNA4
NLGN1,26,NLGN1
NLRP7,26,NLRP7
OR2T12,26,OR2T12
OR5L2,26,OR5L2
PIK3CG,26,PIK3CG
PLCL1,26,PLCL1
PLG,26,PLG
PYHIN1,26,PYHIN1
RANBP2,26,RANBP2
SCN1A,26,SCN1A
SLC9A4,26,SLC9A4
SLCO5A1,26,SLCO5A1
TECTA,26,TECTA
TENM4,26,TENM4
THOC2,26,THOC2
TMEM200A,26,TMEM200A
TPO,26,TPO
TRIO,26,TRIO
TRPC5,26,TRPC5
ZFYVE26,26,ZFYVE26
ABCB11,25,ABCB11
ABCC9,25,ABCC9
ADCY10,25,ADCY10
ARAP2,25,ARAP2
ATP8A2,25,ATP8A2
CDH2,25,CDH2
CFAP61,25,CFAP61
DLC1,25,DLC1
DLGAP3,25,DLGAP3
DNAH2,25,DNAH2
DPP10,25,DPP10
EXPH5,25,EXPH5
FRY,25,FRY
GABRG2,25,GABRG2
GABRG3,25,GABRG3
GREB1,25,GREB1
GTF3C1,25,GTF3C1
GUCY2F,25,GUCY2F
HIVEP2,25,HIVEP2
IRS4,25,IRS4
KIAA1755,25,KIAA1755
KIF1A,25,KIF1A
LAMA3,25,LAMA3
MDN1,25,MDN1
MEGF10,25,MEGF10
NES,25,NES
NFASC,25,NFASC
NLRP2,25,NLRP2
OCA2,25,OCA2
OR2G6,25,OR2G6
OR2T33,25,OR2T33
OR2T34,25,OR2T34
PARD3B,25,PARD3B
PCDHA4,25,PCDHA4
PCDHB11,25,PCDHB11
PCDHB6,25,PCDHB6
PDHA2,25,PDHA2
PIK3CA,25,PIK3CA
PKD1,25,PKD1
PKP2,25,PKP2
PROS1,25,PROS1
SLC12A5,25,SLC12A5
SLC44A5,25,SLC44A5
SLIT3,25,SLIT3
ST18,25,ST18
STXBP5L,25,STXBP5L
TRPV5,25,TRPV5
USP34,25,USP34
ZBBX,25,ZBBX
ZIC4,25,ZIC4
ZNF735,25,ZNF735
ADAM23,24,ADAM23
ANKRD17,24,ANKRD17
CACNA1I,24,CACNA1I
CARD11,24,CARD11
CHD8,24,CHD8
CYP11B2,24,CYP11B2
DGKK,24,DGKK
DSG4,24,DSG4
FAM171A1,24,FAM171A1
FRG2C,24,FRG2C
GFRAL,24,GFRAL
KCNC2,24,KCNC2
KCNK2,24,KCNK2
LAMA5,24,LAMA5
LRFN2,24,LRFN2
NCAN,24,NCAN
NETO1,24,NETO1
NIPBL,24,NIPBL
NLRP8,24,NLRP8
NOS1,24,NOS1
OR2T1,24,OR2T1
OR2T3,24,OR2T3
OR6K2,24,OR6K2
PAPPA,24,PAPPA
PCDH7,24,PCDH7
PCDHA6,24,PCDHA6
PCDHB5,24,PCDHB5
PCDHB9,24,PCDHB9
PCDHGA4,24,PCDHGA4
PCDHGA6,24,PCDHGA6
PDE3A,24,PDE3A
PHF3,24,PHF3
POLE,24,POLE
POTEF,24,POTEF
PTPRN2,24,PTPRN2
RBP3,24,RBP3
RGAG1,24,RGAG1
RUNX1T1,24,RUNX1T1
SEMA3A,24,SEMA3A
SLC8A3,24,SLC8A3
SPATA31A3,24,SPATA31A3
SPATA31E1,24,SPATA31E1
SRRM2,24,SRRM2
TECRL,24,TECRL
TEP1,24,TEP1
TLN2,24,TLN2
TPR,24,TPR
TRIM58,24,TRIM58
ACSM2B,23,ACSM2B
ACSM5,23,ACSM5
ACTRT1,23,ACTRT1
ALPK1,23,ALPK1
ANKS1B,23,ANKS1B
ANO3,23,ANO3
APC,23,APC
ATP2B2,23,ATP2B2
C2CD3,23,C2CD3
CD163L1,23,CD163L1
CHD7,23,CHD7
COL9A1,23,COL9A1
CTTNBP2,23,CTTNBP2
CYP11B1,23,CYP11B1
DAB1,23,DAB1
DNAH1,23,DNAH1
FBN1,23,FBN1
FBN3,23,FBN3
GABRA5,23,GABRA5
GABRB3,23,GABRB3
HHIPL2,23,HHIPL2
IGF2R,23,IGF2R
INHBA,23,INHBA
KCNQ2,23,KCNQ2
KIF21A,23,KIF21A
LEPR,23,LEPR
NTNG1,23,NTNG1
NUP210,23,NUP210
OR10J3,23,OR10J3
OR14K1,23,OR14K1
OR2AK2,23,OR2AK2
OR4M1,23,OR4M1
OR51V1,23,OR51V1
OR5AS1,23,OR5AS1
OR5D14,23,OR5D14
OR5J2,23,OR5J2
OR8U1,23,OR8U1
PASD1,23,PASD1
PDE1C,23,PDE1C
PIK3C2B,23,PIK3C2B
PLCE1,23,PLCE1
PMFBP1,23,PMFBP1
PREX2,23,PREX2
PRKCB,23,PRKCB
PRKD1,23,PRKD1
PSG8,23,PSG8
PTCHD3,23,PTCHD3
PZP,23,PZP
RAD51AP2,23,RAD51AP2
RAPGEF2,23,RAPGEF2
RGS22,23,RGS22
RIF1,23,RIF1
ROBO1,23,ROBO1
SALL3,23,SALL3
SEMA3D,23,SEMA3D
SLITRK5,23,SLITRK5
SORL1,23,SORL1
SYNPO2,23,SYNPO2
SYT10,23,SYT10
TACC2,23,TACC2
TAS1R2,23,TAS1R2
TYR,23,TYR
WSCD2,23,WSCD2
ZFHX3,23,ZFHX3
ZNF318,23,ZNF318
A2ML1,22,A2ML1
ABCA5,22,ABCA5
ABCA6,22,ABCA6
ACSM2A,22,ACSM2A
ADAMTS9,22,ADAMTS9
ADCY1,22,ADCY1
ADNP2,22,ADNP2
AEBP1,22,AEBP1
AMPH,22,AMPH
ARID1B,22,ARID1B
ARMC3,22,ARMC3
ATP10D,22,ATP10D
ATP7A,22,ATP7A
BCOR,22,BCOR
BMS1,22,BMS1
CACNA1A,22,CACNA1A
CACNA2D4,22,CACNA2D4
CALCR,22,CALCR
CASR,22,CASR
CASS4,22,CASS4
CELSR3,22,CELSR3
CENPE,22,CENPE
CEP128,22,CEP128
CFAP54,22,CFAP54
CLCA2,22,CLCA2
CLCA4,22,CLCA4
CNGB3,22,CNGB3
COBL,22,COBL
CREBBP,22,CREBBP
CTNNA3,22,CTNNA3
DOPEY2,22,DOPEY2
DTNA,22,DTNA
EP400,22,EP400
FCRL2,22,FCRL2
FLT1,22,FLT1
FREM1,22,FREM1
FRMPD2,22,FRMPD2
GABRA6,22,GABRA6
GUCY1A2,22,GUCY1A2
ICE1,22,ICE1
ITGAL,22,ITGAL
ITGAM,22,ITGAM
ITIH5,22,ITIH5
KCNA5,22,KCNA5
KCNB1,22,KCNB1
KIF5A,22,KIF5A
KPRP,22,KPRP
LGR5,22,LGR5
LILRB1,22,LILRB1
LRRC66,22,LRRC66
LVRN,22,LVRN
MAGEL2,22,MAGEL2
MAP1B,22,MAP1B
MS4A14,22,MS4A14
MUC3A,22,MUC3A
MYH11,22,MYH11
NCAM2,22,NCAM2
NCOR2,22,NCOR2
NELL2,22,NELL2
NOTCH1,22,NOTCH1
NRAP,22,NRAP
OR14A16,22,OR14A16
OR2L2,22,OR2L2
OR2T6,22,OR2T6
OR5T2,22,OR5T2
OR5W2,22,OR5W2
PCDHA10,22,PCDHA10
PCDHA7,22,PCDHA7
PCDHA9,22,PCDHA9
PCNX,22,PCNX
PDILT,22,PDILT
PGK2,22,PGK2
PLXNA2,22,PLXNA2
PLXNB2,22,PLXNB2
PTPRH,22,PTPRH
RGPD3,22,RGPD3
SDK2,22,SDK2
TKTL2,22,TKTL2
TRPM2,22,TRPM2
VWF,22,VWF
WBSCR17,22,WBSCR17
ZCCHC5,22,ZCCHC5
ZNF236,22,ZNF236
ADAM2,21,ADAM2
ADAMTS14,21,ADAMTS14
ARHGAP32,21,ARHGAP32
ATG2B,21,ATG2B
ATP8B4,21,ATP8B4
BCAN,21,BCAN
C6,21,C6
CAD,21,CAD
CADPS,21,CADPS
CCT8L2,21,CCT8L2
CDHR2,21,CDHR2
CHRM3,21,CHRM3
COL20A1,21,COL20A1
CPXM2,21,CPXM2
CSPG4,21,CSPG4
DCSTAMP,21,DCSTAMP
DNER,21,DNER
DOCK11,21,DOCK11
DOCK4,21,DOCK4
DSEL,21,DSEL
FLT3,21,FLT3
GCN1L1,21,GCN1L1
GOLGB1,21,GOLGB1
GRIK4,21,GRIK4
HEATR1,21,HEATR1
HERC1,21,HERC1
HSPG2,21,HSPG2
IL16,21,IL16
IL7R,21,IL7R
INSC,21,INSC
ITPR1,21,ITPR1
JMJD1C,21,JMJD1C
KCNJ3,21,KCNJ3
LRP4,21,LRP4
LRRC32,21,LRRC32
MAGEC2,21,MAGEC2
MKRN3,21,MKRN3
MROH9,21,MROH9
MTCL1,21,MTCL1
MTOR,21,MTOR
MYT1,21,MYT1
NLRP11,21,NLRP11
NOL4,21,NOL4
NPAS4,21,NPAS4
NPHS1,21,NPHS1
NRXN2,21,NRXN2
NUP205,21,NUP205
OR1C1,21,OR1C1
OR2G3,21,OR2G3
OR2T11,21,OR2T11
OR5D16,21,OR5D16
OR8J3,21,OR8J3
PCDHGA1,21,PCDHGA1
PCDHGA8,21,PCDHGA8
PCDHGB3,21,PCDHGB3
PCK1,21,PCK1
PCNT,21,PCNT
PCSK5,21,PCSK5
POTEE,21,POTEE
PRRC2C,21,PRRC2C
RAG1,21,RAG1
REG1B,21,REG1B
RP11-407N17.3,21,RP11-407N17.3
SERPINB3,21,SERPINB3
SETX,21,SETX
SIGLEC12,21,SIGLEC12
SLC12A1,21,SLC12A1
SLC26A7,21,SLC26A7
SLC6A15,21,SLC6A15
SLC6A5,21,SLC6A5
SLC9C2,21,SLC9C2
SPEN,21,SPEN
SZT2,21,SZT2
TET1,21,TET1
TFAP2D,21,TFAP2D
TLL2,21,TLL2
TNRC6A,21,TNRC6A
TRPC6,21,TRPC6
TRPV6,21,TRPV6
UGT2B11,21,UGT2B11
UGT3A1,21,UGT3A1
YLPM1,21,YLPM1
ZC3H13,21,ZC3H13
ZNF257,21,ZNF257
ZNF292,21,ZNF292
ZNF676,21,ZNF676
ZNF98,21,ZNF98
ZNF99,21,ZNF99
ACACB,20,ACACB
AGBL1,20,AGBL1
ANO5,20,ANO5
ARHGEF11,20,ARHGEF11
ARPP21,20,ARPP21
ATP1A4,20,ATP1A4
AXDND1,20,AXDND1
BCL11A,20,BCL11A
BCL11B,20,BCL11B
BNC2,20,BNC2
BRCA1,20,BRCA1
BRINP1,20,BRINP1
CAPN6,20,CAPN6
CCKBR,20,CCKBR
CD109,20,CD109
CES5A,20,CES5A
CLSTN2,20,CLSTN2
CNBD1,20,CNBD1
CNKSR2,20,CNKSR2
COL5A3,20,COL5A3
CTCFL,20,CTCFL
DSG1,20,DSG1
EDIL3,20,EDIL3
ENOX1,20,ENOX1
EPG5,20,EPG5
EPRS,20,EPRS
EVC2,20,EVC2
EYA4,20,EYA4
F13B,20,F13B
FGD5,20,FGD5
GAD2,20,GAD2
GALNT13,20,GALNT13
GALNT8,20,GALNT8
GPRC6A,20,GPRC6A
HCRTR2,20,HCRTR2
IGHV1OR21-1,20,IGHV1OR21-1
IGSF9B,20,IGSF9B
KCND2,20,KCND2
KEL,20,KEL
KIF19,20,KIF19
LILRA2,20,LILRA2
LILRB2,20,LILRB2
LILRB4,20,LILRB4
LRRTM1,20,LRRTM1
MADD,20,MADD
MAP3K19,20,MAP3K19
MARCO,20,MARCO
MARK1,20,MARK1
MED13L,20,MED13L
MICAL3,20,MICAL3
MORC1,20,MORC1
NCAPD3,20,NCAPD3
OLFM4,20,OLFM4
OR10G8,20,OR10G8
OR10X1,20,OR10X1
OR2A2,20,OR2A2
OR2M7,20,OR2M7
OR56A4,20,OR56A4
OR5T3,20,OR5T3
OR8H2,20,OR8H2
OR8H3,20,OR8H3
P2RY10,20,P2RY10
PALD1,20,PALD1
PCDH8,20,PCDH8
PCDHB10,20,PCDHB10
PCDHGB2,20,PCDHGB2
PCNXL2,20,PCNXL2
PDZD2,20,PDZD2
POTEH,20,POTEH
PXDN,20,PXDN
RASAL2,20,RASAL2
RNF213,20,RNF213
